Component name,Quantity,Price,Total price,Link,Total Money required
FA3115 400KV BLDC,4,"Rs2,899.00","Rs11,596.00",https://hitechxyz.in/products/flycci-fpv-brushless-motors-fa3115-400kv-1?_pos=1&_psq=fa3115&_ss=e&_v=1.0,"Rs63,916.08"
4200mAh 6S 35C LiPo,2,"Rs5,694.00","Rs11,388.00",https://robu.in/product/orange-4200mah-6s-40c80c-lithium-polymer-battery-pack-lipo?gad_source=1&gbraid=0AAAAADvLFWe2unb0qWUCCLA-G5F6vi5aB&gclid=CjwKCAjwtcHPBhADEiwAWo3sJtK1LmGrWleh0h5mfIfN8sMTmzO2vMtsxQ0anOehUmo4TxjxjTa82BoCJvoQAvD_BwE&gad_campaignid=17427802559,$677.5762815624
FS-i6X RX TX,1,"Rs6,599.00","Rs6,599.00",https://robu.in/product/flysky-fs-i6x-2-4ghz-10ch-afhds-2a-rc-transmitter-with-fs-ia10b-2-4ghz-10ch-receiver?gclid=CjwKCAjwtcHPBhADEiwAWo3sJn4zvdF9-2Y0VUufG5vKSvS4ZdwDRTzB5Hijaw1eJfy01J_3AFgJNxoCqhMQAvD_BwE&gad_source=1&gad_campaignid=17419548928&gbraid=0AAAAADvLFWcXHTHVROX42byWKjKR9IQFi,135.51525631248 hours
Teensy 4.1,1,"Rs3,399.00","Rs3,399.00",https://robu.in/product/teensy-4-1-development-board-with-headers?gad_source=1&gad_campaignid=17413441824&gclid=CjwKCAjwtcHPBhADEiwAWo3sJvCEqkXU8l-o6fj-ZZpXSYLQagccxDwgAXJ67ShowrOqGBCBNRn3-xoCqVsQAvD_BwE&gbraid=0AAAAADvLFWciOcRNOH9qWjwiF-ZjFpZk3,677.5762815624 Koi
1/10 Scale RC wheels,1,"Rs4,395.00","Rs4,395.00",https://www.amazon.in/801GTX-Brushless-Wheels-Racing-Serpent/dp/B09474HB4D#averageCustomerReviewsAnchor,
Shock Absorber,2,Rs532.00,"Rs1,064.00",https://robu.in/product/wltoys-a959-aluminum-shock-absorber-1-pair,
ESC PCB ,1,"Rs7,583.56","Rs7,583.56",https://jlcpcb.com/,
ESC Components,4,"Rs2,601.63","Rs10,406.52",--,
Velcro Straps,1,Rs284.00,Rs284.00,https://www.amazon.in/Bonzella-Adjustable-Organizer-Multipurpose-Securing/dp/B0D41DKW5M?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A191G5RZLN7VA&th=1,
Servos for turning,1,"Rs1,338.00","Rs1,338.00",https://robu.in/product/pro-range-ds3225-25kgcm-metal-gear-digital-servo-motor-180-degree/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWe8EGaeYt59ekx3q7n1nadTv&gclid=Cj0KCQjw_7PRBhDcARIsAMjV7jmXeBN-wA07R2x8aEfyoIOL1-COqrDXosOwQ1eX3RCR6zeRKfzWiM4aApGhEALw_wcB,
Servo horn,1,Rs69.00,Rs69.00,https://robu.in/product/cnc-aluminum-steering-servo-horn-arm-futaba-standard-25t-aluminum/,
Voltage checker,1,Rs95.00,Rs95.00,https://quartzcomponents.com/collections/all/products/lipo-battery-vltage-testerlow-voltage-buzzer-alarm,
Ball joints,1,"Rs1,924.00","Rs1,924.00",https://www.amazon.in/ShareGoo-Aluminum-Holder-TRAXXAS-Crawler/dp/B07TYXX4N3,
Bearings,1,Rs65.00,Rs65.00,https://robu.in/product/radial-ball-bearing-625zz-for-3d-printer-robot-4pcs/,
Solder Paste,1,Rs372.00,Rs372.00,https://www.amazon.in/MOBILE-WORLD-Solder-Paste-Rework/dp/B0DR2YWY73/ref=asc_df_B0DR2YWY73?mcid=31cbd004a3753bd189e576be226896a2&tag=googleshopdes-21&linkCode=df0&hvadid=709856275851&hvpos=&hvnetw=g&hvrand=2001080288967212803&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9198909&hvtargid=pla-2492942319007&psc=1&hvocijid=2001080288967212803-B0DR2YWY73-&hvexpln=0&gad_source=1,
Solder Flux,1,Rs37.00,Rs37.00,https://quartzcomponents.com/products/rma-223-solder-flux-paste?variant=39532236931256&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdOZByU-WP_6c_akl1weNQJp9&gclid=CjwKCAjw9NjRBhATEiwA_p2J8Tvw5RtRxY_VsZ9g_P0LtqYDWPyyUGTf631ztuLAqMSx0_TA64cIGRoC3wIQAvD_BwE,
Carbon fibre ,2,Rs54.00,Rs108.00,https://robu.in/product/pultruded-square-carbon-hollow-fiber-tube-22mmod-1mmid-400mml-2pcs/,
3mm Rod,1,Rs293.00,Rs293.00,https://robu.in/product/pultruded-carbon-fiber-tube-hollow-3mmod-1-5mm-id-1000mm-pack-of-2/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWetUf--tDR9NtkWHAHnjI7bR&gclid=CjwKCAjw9NjRBhATEiwA_p2J8fciPCCGNParxqNmbqM0FKR1ZZuYnqgM7SpllLhYAIj5yDFQ4NQXnhoCINgQAvD_BwE,
Filament,4,Rs600.00,"Rs2,400.00",https://india.numakers.com/products/petg-hs-filament?variant=43307604082857,
"Misc hardware (screws, nuts, etc.)",1,Rs500.00,Rs500.00,https://onlyscrews.in/,
